paste_count_10s,copy_count_10s,rightclick_count_10s,tab_switch_count_10s,selection_count_10s,mousemove_count_10s,keydown_count_10s,iki_mean_10s,iki_std_10s,event_rate_10s,label
2,0,0,3,4,104,104,92.6269544444273,8.873301850890442,20.761446407796523,1
0,0,0,0,2,73,56,145.84342213320707,34.347753000839575,13.149771265937854,0
1,0,0,0,0,86,61,152.951479075814,27.741501145543687,13.570938930694624,0
1,1,1,2,6,134,111,28.580408831492207,23.91835425742195,24.583595712155585,1
1,0,0,0,2,91,61,236.41511957761344,66.71102462089932,14.740914449952992,0
1,0,1,0,1,121,132,205.15276817921787,20.574680529376522,25.73914869151921,0
1,0,3,0,3,94,19,202.73561156056928,36.14971485572087,12.993594662787608,1
0,0,0,1,3,97,105,111.10557903869653,38.911608472981655,18.647072263749603,0
2,0,0,0,1,113,114,81.20505489449768,53.05227987128325,22.45981884526933,0
0,0,0,0,1,101,73,218.44574739656585,60.26330864711397,17.414808291618208,0
4,1,2,2,1,137,90,70.7780246980203,38.63456753067595,20.542956171835502,1
3,0,0,2,0,52,77,104.48023212717027,20.05373141341989,12.214555868184728,1
2,0,0,0,1,104,90,154.07731307204043,14.609990058330588,18.831266897231334,0
5,0,1,0,3,39,76,47.496157885651215,15.514400368780517,11.09619329677036,1
1,0,0,0,3,112,55,129.63060214284798,32.06946078568183,16.42672967589753,0
0,2,0,0,1,81,109,221.83298483192675,35.11026528378978,19.00393359815132,0
3,0,1,0,3,67,86,95.00711910601404,0.9716641018690808,15.92039893987065,1
5,2,0,2,2,118,84,124.62831310376237,37.621894580197434,19.64161437912768,1
0,1,0,0,1,108,102,194.61782944890768,33.61317993921713,21.229711096178928,0
0,0,0,0,3,96,99,202.9700943896268,29.921994122326666,19.634722570821534,0
2,3,2,0,1,170,53,80.06577931349466,12.781590037668098,23.630114243344295,1
0,0,1,1,3,105,71,284.1586094662407,37.30201213271196,17.071758496362243,0
3,0,0,0,1,67,119,161.1457572967933,57.82649194861209,18.87963872278264,0
5,0,0,1,2,105,75,143.8904319040324,36.42162943549374,19.269925892243037,1
0,0,0,0,1,108,96,258.56827295609935,53.8308481136184,21.481051639444157,0
0,1,0,0,2,125,95,239.87399837738457,25.51082464286803,20.408103932809706,0
0,0,0,0,0,61,60,248.5255512141041,35.312808423185714,12.772468306239716,0
1,0,0,0,0,120,73,219.36733791779105,42.810784330707264,19.477109934841454,0
0,0,0,0,1,89,90,48.13423108633026,41.92850737005145,18.180464196168,0
6,0,0,1,1,125,82,132.13079443807925,18.7842028376252,20.519070550792673,1
